totalRescued,weight
128,2.239510780175
119,1.246876463146
92,1.0
82,1.830915597626
193,1.0
142,1.0
133,1.0
124,0.0
151,0.0
152,0.0
122,0.0
162,1.930728927273
80,0.0
113,0.0
165,1.0
130,1.0
132,1.0
118,1.0
81,1.0
97,1.0
90,2.378604504032
119,1.623401130132
150,0.0
164,0.0
100,2.344659272895
172,2.772911630872
122,1.0
162,3.249307682278
131,1.0
122,1.0
122,1.0
156,1.0
97,1.0
96,1.393872407637
122,0.0
149,1.497928829288
106,0.0
124,0.0
199,1.0
146,1.0
111,2.052372443026
178,0.0
118,1.0
147,1.0
116,2.443290647818
121,1.0
144,1.0
169,0.0
125,1.0
148,1.447983887854
117,2.368686376151
131,1.578166343047
82,0.0
134,1.0
104,1.665099935333
116,1.0
75,0.0
134,1.0
129,1.0
154,0.0
77,1.0
144,0.0
152,1.807144786831
164,2.476417282624
147,2.162359512115
174,1.0
130,1.0
75,1.0
84,1.0
172,1.756516534489
160,1.356170068072
130,1.346618866475
174,2.043649416903
156,1.0
123,2.374064183818
161,2.696287883681
154,1.0
174,0.0
129,1.634635279261
147,1.303313495517
76,1.865126614586
128,2.209653699106
169,1.0
117,0.0
170,1.0
88,0.0
88,2.101305202101
120,2.590334093268
136,1.882889003984
146,2.024341250649
142,1.0
94,1.0
92,1.0
133,1.0
101,1.0
161,1.0
88,1.0
167,0.0
60,3.22903673047
147,1.350256998411
145,0.0
75,1.324541185358
164,1.0
130,0.0
143,1.0
134,2.20935385331
179,1.561532741723
118,1.0
131,1.974302272052
142,1.815616605661
140,1.496102867113
184,0.0
198,1.0
46,0.0
144,1.0
184,2.493522259204
124,1.0
136,1.0
119,1.0
158,0.0
159,1.556218671354
81,1.0
131,0.0
168,0.0
161,1.864943842111
150,1.733188365477
113,1.483199169407
184,1.821723967193
156,0.0
131,2.251862954815
188,1.664930236708
135,1.0
87,1.307438865728
157,1.504173799061
140,0.0
143,1.762897114912
57,1.978275422657
151,0.0
159,1.0
164,1.624731705353
168,1.0
68,3.386196792582
69,0.0
168,1.698035314121
190,1.0
165,1.0
120,1.57631036741
117,1.688585127474
147,0.0
104,0.0
102,0.0
82,1.527533176486
174,1.0
115,0.0
109,1.0
103,1.0
145,1.0
127,1.0
177,0.0
167,0.0
134,1.324440656402
119,3.178923269925
149,1.0
136,1.0
154,1.0
115,1.0
189,1.217695708688
122,0.0
107,0.0
161,1.0
85,1.0
151,1.632975843968
108,1.507916554416
86,1.867353202393
136,1.736385924528
130,0.0
93,1.545330329821
167,1.909776793021
87,2.768964497108
122,1.0
103,0.0
129,1.0
193,2.160920907268
117,1.535840188671
126,1.0
145,2.795348542338
184,2.373633731617
106,1.682298479066
204,1.0
119,2.150788963699
111,1.0
174,1.0
166,2.104794511976
139,1.0
129,2.004846823073
130,1.485092292181
125,2.49519117446
137,5.200216443561
114,1.0
174,1.0
143,2.551683699064
129,1.0
154,1.0
185,1.766106629771
173,2.067084874356
134,1.0
119,1.0
125,0.0
140,1.937734897505
142,1.410230936006
181,1.574862650985
135,0.0
136,1.0
110,1.0
143,1.0
136,1.0
149,0.0
109,0.0
33,1.0
171,1.0
74,4.471195401719
177,1.515257549096
136,1.0
176,2.854085040735
114,1.0
134,1.0
151,0.0
100,0.0
108,0.0
102,1.530875366645
103,1.399765107618
153,0.0
147,1.449541839511
55,1.0
136,1.73726249648
83,1.0
174,0.0
149,2.487026620191
147,1.0
66,2.360394952755
177,1.0
174,1.0
148,0.0
139,1.597292814239
164,0.0
146,0.0
166,2.144532573329
105,1.454407894883
144,1.0
94,1.0
161,1.0
160,2.398899632988
116,1.0
156,1.633883279722
158,3.632275675535
198,1.814338383189
91,0.0
125,1.0
137,1.44182380488
135,0.0
96,0.0
137,0.0
170,2.577287623309
177,1.555997030243
127,1.0
123,1.0
174,1.597756868478
134,2.260097725724
161,1.898900591172
180,1.816946203895
117,0.0
156,2.177542049991
181,0.0
83,1.302259421902
184,1.610208638552
154,1.329983288016
61,2.058555171463
106,2.325677768214
166,1.0
143,1.0
72,0.0
176,1.0
161,1.644217574951
117,1.0
95,1.0
167,0.0
112,1.0
102,2.231869171415
59,0.0
49,0.0
142,1.424850889078
129,0.0
135,1.0
53,1.0
112,0.0
88,0.0
149,1.0
112,2.041818292392
147,1.0
137,1.529939003231
67,0.0
129,1.0
58,1.707665833516
131,1.0
98,0.0
107,0.0
99,1.841736000612
100,1.0
144,1.0
81,1.0
91,1.0
123,1.744390398024
81,1.804363776577
131,0.0
128,2.629792320918
152,0.0
148,2.223409475315
90,1.586232250427
130,1.0
194,2.066184366972
157,0.0
141,1.0
183,1.0
175,3.043822154091
143,2.016114500906
137,2.082720718562
125,0.0
67,1.434165322669
182,1.0
63,2.234352408506
146,1.0
64,0.0
165,1.0
177,1.697470101087
160,1.0
135,1.0
130,1.0
146,1.0
127,1.0
88,1.0
159,1.0
128,1.737322047201
125,1.588958766128
127,0.0
96,1.326407244151
190,1.0
136,0.0
148,1.67422089411
149,1.0
158,1.0
151,0.0
116,1.505867958348
93,2.121706446529
159,2.305993850541
89,1.358068867959
125,0.0
167,1.0
156,1.0
100,1.0
62,0.0
102,0.0
134,1.0
119,1.0
182,1.0
129,1.0
120,1.0
149,3.006031633009
129,1.0
98,1.627235869731
119,1.0
135,1.0
149,0.0
114,1.0
113,1.0
168,1.0
132,1.0
121,0.0
50,2.22403174644
148,1.0
159,1.822789155557
127,0.0
171,0.0
108,1.0
144,1.70735738872
136,0.0
153,0.0
169,0.0
145,2.248521414115
140,0.0
195,1.0
164,2.659670966372
117,1.752535618366
186,0.0
47,1.0
147,1.0
105,1.0
173,1.0
51,1.0
137,1.437544684932
92,0.0
129,0.0
102,2.080894242536
151,0.0
102,1.0
97,0.0
192,1.0
184,1.779135005062
120,2.492358804446
105,1.0
80,0.0
166,1.0
170,1.449347184731
124,1.935607801291
182,0.0
110,0.0
154,0.0
144,1.995598517814
187,1.0
146,0.0
142,1.0
112,1.0
128,1.0
62,1.0
128,2.002626941197
160,2.24133265315
158,1.946729435791
158,0.0
149,2.052377151431
170,1.924594543896
72,1.834293960056
138,1.0
141,1.0
110,1.0
126,1.0
178,1.0
189,1.398943988183
148,2.410956505301
100,1.0
134,1.392946445067
59,1.0
137,2.096252299212
176,0.0
180,1.96133401384
148,1.0
92,1.0
134,0.0
117,2.601912037281
181,2.116656486488
109,0.0
149,2.440115411919
118,1.0
189,1.0
107,1.0
159,1.690900625329
155,2.888060701687
59,1.0
180,1.590843095255
154,1.0
97,0.0
91,2.024571288103
153,1.264287889267
142,2.922513538638
127,17.351152970983
106,1.908716893693
131,0.0
163,2.223738251728
111,0.0
139,1.774234035358
68,1.0
95,3.440204335923
124,0.0
89,3.339096133307
138,0.0
178,1.0
158,1.0
150,1.300164740729
138,1.0
71,1.0
162,1.0
96,1.518575293414
81,1.724289502924
78,1.0
127,3.921273128843
176,0.0
129,2.229584373279
126,1.59065768457
148,2.611081809968
172,1.0
148,1.0
189,1.0
152,1.0
131,1.82876767688
139,1.492481789942
101,1.0
188,1.797056717794
94,3.672318938512
105,1.0
73,3.654938610308
133,1.70604168268
185,1.0
141,0.0
126,1.970823737645
105,0.0
154,1.415337123927
91,1.0
129,2.67372436118
157,1.0
127,1.0
151,1.308393770175
143,1.0
144,1.646395408361
173,0.0
97,0.0
91,2.016769114761
154,1.55924278825
123,0.0
143,1.0
161,1.0
162,1.352634405364
149,1.311785606066
129,1.370271963608
153,1.0
139,0.0
179,0.0
127,0.0
163,1.0
118,1.0
152,2.307019462624
168,0.0
128,1.0
114,1.652020715188
132,1.0
101,1.509529642358
154,1.550186672679
109,0.0
154,3.093955507888
188,0.0
127,2.116751760515
172,1.0
103,0.0
185,1.0
124,2.682175429426
129,0.0
69,1.368159106793
126,1.720938888395
157,2.118029917168
92,1.506894372913
128,0.0
128,2.130456133713
156,1.734224798431
144,1.0
148,2.554218639876
79,0.0
168,2.22325885276
129,0.0
185,1.0
146,6.536903875492
113,1.261984961073
152,2.145177675952
95,1.538248880019
155,1.0
104,1.0
164,0.0
68,0.0
141,1.961944273372
95,0.0
152,1.0
87,1.0
96,0.0
83,1.0
143,0.0
74,1.0
143,1.54136175183
161,1.888269754485
123,1.0
156,1.0
115,1.0
74,1.0
129,1.0
151,1.0
163,1.0
158,1.421063898571
135,1.0
180,1.0
99,1.37542845077
158,1.0
153,1.0
167,2.824041799189
142,1.0
110,1.577033632171
97,0.0
154,1.0
182,1.0
100,1.0
158,0.0
100,1.0
173,1.0
100,1.0
133,0.0
125,0.0
52,1.961361071996
70,1.942679295834
177,1.0
127,1.68704343534
170,2.862795040801
143,1.452502142612
137,1.510260033854
120,1.0
110,2.649308013327
154,1.0
94,2.097386328803
122,1.0
167,0.0
184,1.0
161,1.0
132,2.201117749638
154,0.0
136,1.537394852915
160,1.299506299958
109,2.531366938795
103,1.0
166,1.33296948369
145,1.0
165,2.033540390868
173,1.0
150,1.439972153081
179,1.548428825641
98,1.953767355972
177,0.0
139,1.0
118,1.722313978454
174,0.0
94,2.062913883122
152,1.0
182,1.0
151,2.063102843397
154,1.0
119,1.0
95,2.659762405428
84,0.0
140,1.0
60,1.0
180,0.0
78,1.0
102,0.0
165,2.284395275649
87,1.0
132,0.0
107,0.0
143,1.895067948468
122,2.128821201086
175,0.0
158,1.0
166,0.0
168,1.237419695392
180,1.515653329336
123,1.0
151,2.04439024623
100,1.446562091859
120,0.0
63,2.023966419645
117,1.0
200,1.0
139,1.0
203,0.0
144,1.468287762061
145,2.14720701088
177,1.809507375003
100,2.415580014084
175,1.0
149,1.0
155,0.0
178,0.0
195,0.0
192,1.0
128,1.77032486124
133,1.999658298536
139,1.0
123,1.0
156,1.0
54,2.120181984976
166,1.0
120,0.0
121,3.391002277796
156,1.627013494071
134,0.0
103,0.0
95,1.886479074753
101,1.442589316295
85,1.445599905471
136,0.0
136,0.0
197,1.282984945948
137,0.0
90,1.766287678529
141,1.0
129,0.0
147,2.010675317239
110,1.0
112,0.0
150,1.0
126,1.0
141,2.191459217885
167,1.270984687344
87,1.995309997177
189,2.664998546013
118,1.0
144,1.788229334751
175,1.608153411162
147,1.877981932401
127,1.636884819267
82,1.0
119,1.483755188962
145,0.0
105,0.0
132,1.0
85,3.457798546565
124,0.0
141,0.0
60,1.706941079542
147,0.0
114,2.503099609881
169,1.352065380835
136,1.490058022108
133,1.0
112,1.0
157,0.0
146,1.0
138,0.0
90,1.0
179,2.36861557279
134,1.841659958284
182,1.0
154,1.0
191,0.0
125,1.51954439852
114,0.0
132,1.0
154,1.554517663628
196,1.0
97,0.0
133,3.188406684743
159,1.300219706771
122,1.830197353238
75,2.028391460263
167,0.0
118,1.802184240833
83,1.652935430517
133,1.325347059091
74,4.275575442658
86,2.076738461398
140,1.826078486354
108,1.0
167,0.0
191,1.442578808537
131,2.071255701413
180,2.763305069603
161,0.0
102,1.0
103,1.0
86,1.0
139,0.0
66,0.0
160,0.0
126,1.0
163,1.0
170,1.0
135,1.0
160,0.0
99,2.041229211309
124,0.0
159,2.046550772583
95,2.906993931647
106,1.0
95,1.0
67,1.0
164,1.0
108,1.0
83,2.269071667339
162,1.60971476031
58,0.0
146,1.0
149,0.0
73,1.0
149,1.756259926227
92,1.546732155785
148,2.33816889194
162,1.0
110,1.0
133,0.0
124,1.0
133,1.645643736134
154,0.0
154,1.532186358743
92,2.425986628221
89,0.0
193,1.442934790935
143,1.0
130,1.889682449819
160,1.984944709356
171,2.718318227836
93,1.0
135,1.0
117,0.0
161,1.0
75,3.260576303916
167,1.0
114,1.475564989483
106,1.505768666
157,1.0
181,1.991524359498
177,0.0
114,0.0
159,1.0
161,1.657437788018
173,6.627874685532
111,0.0
156,1.0
165,1.0
147,2.035751236083
153,1.0
42,0.0
94,2.024982103942
162,1.989918070706
178,1.0
168,1.756817614518
146,1.0
87,1.484723900681
130,1.0
141,1.249432952306
155,0.0
151,1.0
177,1.0
140,1.0
172,2.337275855697
93,1.674214606068
109,1.0
119,1.0
82,1.649494303882
125,0.0
115,1.0
156,1.0
128,1.663375211874
152,1.317295012275
116,0.0
181,0.0
129,1.0
139,1.0
91,1.0
131,1.847465937089
106,2.352261276632
80,1.535494725752
133,0.0
146,2.74408193547
151,3.470550310368
166,1.0
92,1.825329256485
149,0.0
123,1.30291101734
147,1.422559139696
101,1.0
122,2.767157723799
144,0.0
112,1.0
141,0.0
102,0.0
116,1.89919990289
147,2.449981798426
186,1.91637275053
154,0.0
153,0.0
104,1.0
135,1.600242410917
178,1.0
80,1.0
158,1.0
143,1.0
156,1.794471166816
131,1.0
162,1.0
95,0.0
78,2.159603727494
98,1.0
147,1.0
154,1.762054596681
150,0.0
133,1.0
100,0.0
127,0.0
162,1.0
83,1.430668866381
95,1.740537970282
165,0.0
107,1.0
92,0.0
162,1.0
143,1.0
193,2.110432481173
189,1.460857030721
142,1.0
81,1.866561728059
117,1.0
162,0.0
183,1.0
135,2.105904428247
138,2.970951043294
151,0.0
117,1.0
130,1.0
138,1.0
56,0.0
134,1.841737807518
143,1.0
86,1.72708145462
137,1.0
184,1.0
144,1.756799763262
96,1.0
93,1.0
